Total: 210000 lines
--- FIRST 5 ---
PC=0fd3 OP=78 R0=00000000100025c2 R1=0000007fee60ccf0
PC=0fcd OP=2a R0=00000000100025c2 R1=0000007fee60ccf0
PC=0fc7 OP=2a R0=00000000100025c2 R1=0000007fee60ccf0
PC=0fc0 OP=49 R0=00000000100025c2 R1=0000007fee60ccf0
PC=0fb5 OP=5a R0=00000000100025c2 R1=0000007fee60ccf0
--- LAST 30 ---
PC=0ab0 OP=ab R0=0000007f9172d20c R1=0000000010004534
PC=0aac OP=2f R0=0000000000000000 R1=0000000010004534
PC=0aa4 OP=e5 R0=0000000000000000 R1=0000000010004534
PC=0a9a OP=ab R0=0000007f9172d20c R1=0000000010004534
PC=0a92 OP=7a R0=0000000000000001 R1=0000000010004534
PC=0a8d OP=72 R0=0000000000000001 R1=0000000010004534
PC=0a85 OP=d9 R0=0000000000000001 R1=0000000010004534
PC=0a7e OP=a1 R0=0000000000000001 R1=0000000010004534
PC=0a78 OP=58 R0=0000000000000001 R1=0000000010004534
PC=0a70 OP=e5 R0=0000000000000001 R1=0000000010004534
PC=0a69 OP=a1 R0=0000000000000001 R1=0000000010004534
PC=0a63 OP=29 R0=0000000000000001 R1=0000000010004534
PC=0a4d OP=2f R0=0000000000000001 R1=0000000010004534
PC=0a45 OP=e5 R0=0000000000000001 R1=0000000010004534
PC=0a3d OP=d9 R0=0000000000000001 R1=0000000000000002
PC=0a35 OP=7a R0=0000000000000001 R1=0000000000000002
PC=0a2d OP=9d R0=0000000000000001 R1=0000000000000002
PC=0a28 OP=37 R0=0000000000000001 R1=0000000000000002
PC=0a24 OP=9f R0=0000000000000001 R1=0000000000000002
PC=0a1e OP=52 R0=0000000000000001 R1=0000000000000002
PC=0a17 OP=a1 R0=0000000000000001 R1=0000000000000002
PC=0a11 OP=47 R0=0000000000000001 R1=0000000000000002
PC=0a0d OP=2f R0=0000000000000001 R1=0000000000000002
PC=0a05 OP=7a R0=0000000000000001 R1=0000000000000002
PC=09fd OP=9d R0=0000000000000001 R1=0000000000000002
PC=09f5 OP=e5 R0=0000000000000001 R1=0000000000000002
PC=09f0 OP=37 R0=0000000000000002 R1=0000000000000002
PC=09ee OP=c3 R0=0000000000402d7b R1=0000000000000002
PC=09e9 OP=37 R0=0000000000402d7b R1=0000000000000002
PC=09e3 OP=91 R0=0000000000402d7b R1=0000000000000002
